exp_id,rep,weather,start_point,end_point,result,initial_distance,final_distance,final_time,time_out
2,0,1,37,81,1,101.0561,1.3254,125.3,390.2355
,,,,,,,,,
3,0,1,105,29,1,280.4494445,1.564304361,179.2,335.314
,,,,,,,,,
3,0,1,102,87,1,391.8074027,1.969436706,152.3,364.888
,,,,,,,,,
3,0,1,132,27,1,216.5670121,1.949091976,198,364.888
,,,,,,,,,
3,0,1,24,44,1,134.8232659,1.622067818,35.7,75.0628
,,,,,,,,,
3,0,1,96,26,1,148.2599945,1.792320757,52.7,63.2332
,,,,,,,,,
3,0,1,34,67,1,384.7638828,1.817469163,94.2,190.4014
,,,,,,,,,
3,0,1,28,1,1,183.8991168,1.985443297,43.6,86.8924
,,,,,,,,,
3,0,1,140,134,1,210.6372356,1.605360747,59.5,104.6368
,,,,,,,,,
3,0,1,105,9,1,253.6797949,1.456551383,153.4,187.444
,,,,,,,,,
3,0,1,148,129,1,283.8418711,1.804435489,91.2,181.5292
,,,,,,,,,
3,0,1,147,97,1,371.0081505,1.686029844,115.4,199.2736
,,,,,,,,,
3,0,1,21,16,1,367.5117086,1.737842974,129,279.1234
,,,,,,,,,
3,0,1,42,51,1,110.3753486,1.61039213,25.3,54.361
,,,,,,,,,
3,0,1,30,41,1,170.1900024,1.23821901,144.8,252.5068
,,,,,,,,,
3,0,1,69,45,1,364.0399933,1.490698233,175.8,397.4194
,,,,,,,,,
3,0,1,102,95,1,359.1599954,1.947977073,162.5,400.3768
,,,,,,,,,
3,0,1,18,145,0,188.0951554,144.7989839,146.0404,146.0404
,,,,,,,,,
3,0,1,18,107,1,280.0400076,1.609014433,100.9,116.4664
,,,,,,,,,
3,0,1,84,69,1,485.4200089,1.256641501,119.9,255.4642
,,,,,,,,,
3,0,1,73,31,1,391.6338663,1.539680638,110.8,267.2938
,,,,,,,,,
3,0,1,37,81,1,429.9715416,1.543065967,321.1,450.6526
,,,,,,,,,
3,0,1,111,64,0,331.4124009,307.2971476,276.166,276.166
,,,,,,,,,
3,0,1,79,45,1,486.7092504,1.87044168,134.2,282.0808
,,,,,,,,,
3,0,1,27,130,0,174.9469102,163.344745,243.6346,243.6346
,,,,,,,,,
3,0,1,65,18,0,318.3435263,58.53956355,302.7826,302.7826
